Session, Time, Freq (MHz), KrakenSDR ID, Latitude, Longitude, Bearing, Direction
(1, '2024-10-13T18:56:34.807361', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 156.0)
(1, '2024-10-13T18:56:34.809249', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 156.0)
(1, '2024-10-13T18:56:35.232679', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 156.0)
(1, '2024-10-13T18:56:35.234553', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 156.0)
(1, '2024-10-13T18:56:35.678727', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 156.0)
(1, '2024-10-13T18:56:35.680583', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 156.0)
(1, '2024-10-13T18:56:36.115269', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:36.117042', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:36.559073', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:36.561187', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:36.981563', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:36.983481', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:37.426472', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:37.428202', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:37.870083', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:37.872007', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:38.314075', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:38.315917', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:38.737205', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:38.739106', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:39.192815', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:39.210138', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:39.612987', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:39.614831', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T20:51:47.689671', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:47.695568', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:48.135362', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:48.137218', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:48.571901', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:48.598075', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:49.007877', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:49.011594', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:49.439350', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:49.442302', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:49.887851', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:49.916885', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:50.328624', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:50.380520', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:50.768697', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:50.781600', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:51.239811', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:51.328316', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:51.635926', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:51.645119', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:52.058764', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:52.060845', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:52.503887', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:52.506851', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
(1, '2024-10-13T20:51:52.938091', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 154.0)
(1, '2024-10-13T20:51:52.940609', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 154.0)
(1, '2024-10-13T20:51:53.377518', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 153.0)
(1, '2024-10-13T20:51:53.381824', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 153.0)
